000006000920040030503090000300007001060401080200500006000010509090050012000600000,Diabolical,2024-01-26
000307000009000480000590003050130000086000530000065020900013000032000700000208000,Diabolical,2024-01-27
000040500000700069010002000059000300000157000001000850000300070520006000008090400,Extreme,2024-01-28
079000530000900008000604000003009021000218000420500800000407000700005000034000290,Gentle,2024-01-29
057409800608000000000005000803000000790030086000000402000200000000000509004701320,Moderate,2024-01-30
400000020906007000030904060000706000200080005000503000040608010000400607080000004,Tough,2024-01-31
120050900000080000000600203005020400600000007004060500903008700000030000002010059,Tough,2024-02-01
076000204000000900050600000098103700000000000000706530000007080001300000207000450,Diabolical,2024-02-02
090003000610007950300000000700300001060000020800009007000100009002500046000400070,Diabolical,2024-02-03
008000600400000000000374000090507040014000960030001080000923000000040006009000100,Extreme,2024-02-04
005000200100600005470801000050200019000000000820009050000708096900006002004000700,Gentle,2024-02-05
000170030830002000056000400000260900000000000003097000004000590500400081070005000,Moderate,2024-02-06
000005306002190700040000020006900000390000078000006400020000010004071900908200000,Tough,2024-02-07
002040600060200730000000502000901000010427050000805000109000000057003040004070900,Tough,2024-02-08
200803006067009010003000000000000730000648000025000000000000000070300460800104005,Diabolical,2024-02-09
600020008030000500100000003008007604000509080000300700300000007005000010200050006,Diabolical,2024-02-10
040700860600030005000004000008040006054000130300070500000100000900060003026009050,Extreme,2024-02-11
930605000500100007000000500070000013002000700040000000059000000600009004000702068,Gentle,2024-02-12
500901000040300060600008005700000010002000300090000004400100007310007090000400002,Moderate,2024-02-13
007013000009000000360900201900804000070000040000302009804000015000000300000460700,Tough,2024-02-14
050040000400000109000690407010900000980000035000000020103027000002000003000050040,Tough,2024-02-15
060000000400720006001003000000040001019800360200070000000160700100094002000000050,Diabolical,2024-02-16
007000004059306000000905000000100308100000002706008000000004000000507920800000006,Diabolical,2024-02-17
090000000706043000000007100070000084009000500450000020003206900000890301000000000,Extreme,2024-02-18
000604000670000035001000200905003100200090004006700508009000600850000041000902000,Gentle,2024-02-19
000900500006000000085030009200501900009000480007609005400050270000000300008004000,Moderate,2024-02-20
200504800000030000010006073480000000306000209000000038620300050000090000005802001,Tough,2024-02-21
000006001000000087600807020430002870000000000081700049070205003340000000200900000,Tough,2024-02-22
006305002021000090090000000000650900800000004005041000000060020080000430900103700,Diabolical,2024-02-23
080000000004000300100203006690501004000000000200609013900102005003000600000000091,Diabolical,2024-02-24
100005000050090040600000003009020050002401800080030700900080007030070000000200006,Extreme,2024-02-25
